Carlos	0	0	0	5	36333.0
Carlos	0	0	0	6	38862.0
Carlos	0	18	3	6	35939.0
Patata64	28	18	5	5	42509.0
usr1	400	4	0	3	18302.0
NoobMaster	8300	65	18	3	29967.0
NoobMaster	5200	32	20	9	39769.0
JouMama	38900	310	79	27	122914.0
Paco	9200	81	11	0	18068.0
Popeye	1800	18	0	1	10218.0
fabian	0	0	0	0	13458.0
Damian	5900	58	1	3	23369.0
Aurelio	10600	78	28	7	44358.0
usr1	11100	92	19	3	36795.0
usr2	0	0	0	0	11559.0
usr2	0	0	0	1	17031.0
usr2	0	0	0	1	15017.0
usr3	300	3	0	2	15917.0
Starkiller	12600	107	19	5	42973.0
ElMacho	0	0	0	2	12004.0
Spartacus	3600	25	11	5	23468.0
StarLord	87200	701	171	47	290814.0
usrPrueba	0	0	0	0	3856.0
IÑIGO	4000	22	18	2	21277.0
Popeye	4300	34	9	3	25743.0
xiker21	0	0	0	0	2792.0
k	0	0	0	0	62284.0
hola	2700	27	0	2	8540.0
hola	4700	36	11	7	34786.0
IronMan	10000	78	22	7	39814.0
Fargan	0	0	0	0	6273.0
hola	0	0	0	0	17561.0
hola	0	0	0	0	7510.0
Paco	0	0	0	0	2883.0
Paco	200	2	0	6	8319.0
Paco	300	3	0	12	6321.0
Aquileo	0	0	0	0	3579.0
egunon	0	0	0	4	6882.0
Franciso	300	3	0	7	4216.0
nalkfg	0	0	0	3	12375.0
rgaekrmgñp	400	3	1	7	10061.0
yepa	200	2	0	1	6750.0
hola	200	2	0	1	4834.0
usr4	300	3	0	4	6366.0
hola	0	0	0	0	2159.0
hola	0	0	0	4	5714.0
steve	1700	14	3	6	32907.0
Vegetta777	6300	51	12	5	33169.0
Paco	0	0	0	0	4120.0
aksngka	9400	83	11	9	41324.0
shbfila	0	0	0	0	3689.0
oiproeg	300	2	1	6	11575.0
amr´glañe	100	1	0	3	10062.0
bzsdf	200	1	1	5	16368.0
rgaerg	0	0	0	3	6619.0
dfs	100	1	0	9	8217.0
sgasr	0	0	0	1	3626.0
argerga	600	4	2	8	27133.0
eraeyh	13000	118	12	15	33504.0
dsgra	0	0	0	0	1050.0
Sip	200	2	0	3	8903.0
gdrha	0	0	0	0	11135.0
gaerga	0	0	0	0	1377.0
usr	27400	235	39	7	59630.0
a´kbma	0	0	0	0	12470.0
asa	0	0	0	0	4598.0
asg	0	0	0	0	6633.0
saweg	0	0	0	0	4703.0
hzrh	0	0	0	0	2009.0
sgfdha	400	3	1	1	14043.0
argawrg	0	0	0	1	12161.0
agargas	6700	48	19	7	43823.0
aerga	0	0	0	0	6023.0
gargmña	0	0	0	0	2681.0
sgarg	0	0	0	0	4473.0
zgSEG	0	0	0	0	3566.0
AEG	0	0	0	0	1780.0
saga	0	0	0	0	3739.0
arga	0	0	0	0	3326.0
agegaw	0	0	0	0	3629.0
rgaerg	0	0	0	0	3369.0
argasg	0	0	0	0	5919.0
dag	0	0	0	0	2458.0
sgd	0	0	0	0	2567.0
rgaerg	0	0	0	3	12649.0
arega	500	4	1	3	13558.0
argar	0	0	0	1	5252.0
dhdh	0	0	0	1	6115.0
gdzgsg	0	0	0	0	5622.0
sega	0	0	0	0	3192.0
srgaer	0	0	0	0	3240.0
segha	0	0	0	0	7289.0
asga	0	0	0	0	3380.0
ggawefWEF	100	1	0	2	6720.0
dgarg	1900	10	9	4	17162.0
agrawe	0	0	0	0	1815.0
segW	0	0	0	0	2026.0
SGAEF	0	0	0	0	3437.0
rga	0	0	0	1	5799.0
agraw	200	1	1	2	11669.0
dfargf	200	1	1	0	15291.0
fgbadgr	15700	121	36	7	34760.0
adfgae	1100	10	1	6	25958.0
sergaer	0	0	0	0	2171.0
aswafwe	0	0	0	0	2247.0
asgfrawe	0	0	0	0	2014.0
awedf	1100	9	2	3	20911.0
wrgfaqwe	200	2	0	2	11029.0
sasd	5100	51	0	1	16940.0
sfkljaWENF	1500	15	0	2	19517.0
RGASRGF	20100	165	36	11	59022.0
awegawerg	1300	12	1	3	25416.0
gay	1300	12	1	3	421.0
aw	1300	12	1	3	3997.0
awgf	0	0	0	0	1568.0
rge	0	0	0	0	7199.0
aerg	0	0	0	0	568.0
awerg	0	0	0	0	1506.0
Interceptor	1000	10	0	1	13740.0
awefa	0	0	0	0	1811.0
fa	0	0	0	0	8763.0
sdas	1400	14	0	2	11860.0
asfaewf	200	1	1	3	19552.0
gaeg	200	1	1	3	534.0
argar	200	1	1	3	886.0
afWE	600	4	2	3	23380.0
DFF	100	1	0	2	15362.0
FGAERG	100	1	0	2	639.0
sefWE	6800	50	18	3	23883.0
EFFEF	6800	50	18	3	709.0
AEWFWEF	0	0	0	0	2802.0
WEFw	0	0	0	0	9045.0
awef	0	0	0	0	788.0
sfF	3900	30	9	4	21967.0
FAFW	3900	30	9	5	7731.0
afef	100	1	0	1	15939.0
AWEFw	100	1	0	1	10728.0
efwef	100	1	0	1	13007.0
FWEF	800	6	2	6	30817.0
WEF	1500	12	3	10	49078.0
zwfw	0	0	0	0	5323.0
segs	0	0	0	0	4769.0
regae	37200	278	94	19	96365.0
WAWE	58100	456	125	29	64137.0
sefW	0	0	0	1	6045.0
FWFf	0	0	0	0	2498.0
Paquito	28600	244	42	9	60144.0
usr	1700	14	3	9	38074.0
hola	30700	263	44	5	49139.0
efef	0	0	0	0	5568.0
biknds	100	1	0	0	4763.0
slkamlr	0	0	0	0	19708.0
adnfblaker	3000	30	0	0	24525.0
dvS	1900	19	0	2	14618.0
thdth	0	0	0	0	2706.0
vargarg	9400	82	12	13	41406.0
argae	100	1	0	6	7987.0
argrg	100	1	0	2	8666.0
srgarg	100	1	0	33	7745.0
aerg	0	0	0	0	12684.0
dtyd	0	0	0	0	10000.0
aowfo	0	0	0	1	9699.0
sdfh	400	3	1	2	22865.0
tidtk	0	0	0	0	6252.0
dgnz	0	0	0	0	4673.0
zdfnz	400	3	1	2	13549.0
that	600	5	1	7	30182.0
fbDh	0	0	0	1	12138.0
FireMaster	56600	492	74	19	110060.0
DOOM	12800	86	42	11	64541.0
garga	0	0	0	0	1030.0
Tyrrion	3400	31	3	6	43759.0
eoem	0	0	0	0	12022.0
wg	0	0	0	0	3354.0
gef	0	0	0	0	10008.0
segarh	0	0	0	0	7193.0
sg	0	0	0	0	5727.0
faef	0	0	0	0	5365.0
rgaerg	100	0	1	2	32065.0
Sg	200	2	0	0	11385.0
lsml	100	1	0	0	11613.0
Carlos	5800	57	1	5	44620.0
USR2	9200	87	5	12	34626.0
ukd	900	9	0	1	15571.0
aef	900	9	0	1	11965.0
dad	5600	56	0	3	20358.0
